NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,lefthead,righthead
2223,Calvin,Y,3,N,N,B 2 isl R for,B 1 isl,B 1 isl,,2223-Calvin.jpg,2223-Calvin_T.jpg,2223-Calvin-left.jpg,2223-Calvin-right.jpg
2271,Prescott,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,back - scar round patch left,2271-Prescott.jpg,2271-Prescott_T.jpg,2271-Prescott-left.jpg,2271-Prescott-right.jpg
2303,Jib,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,,2303-Jib.jpg,2303-Jib_T.jpg,2303-Jib-left.jpg,2303-Jib-right.jpg
2340,Swan,N,2,Y,Y,C 2 pen R for,C 1 pen,C 1 or 2 pen,lip - small scar left front of callosity,2340.jpg,2340_T.jpg,2340-Swan-left.jpg,2340-Swan-right.jpg
2427,Cicatrix,N,2,Y,Y,,C isl,C isl,,2427-Cicatrix.jpg,2427-Cicatrix_T.jpg,2427-Cicatrix-left.jpg,2427-Cicatrix-right.jpg
2503,Boomerang,Y,1,N,N,,B no isl,B no isl,,2503-Boomerang.jpg,2503-Boomerang_T.jpg,2503-Boomerang-left.jpg,2503-Boomerang-right.jpg
2503,Boomerang,Y,4,N,N,,B no isl,B no isl,,2503-Boomerang.jpg,2503-Boomerang_T.jpg,2503-Boomerang-left.jpg,2503-Boomerang-right.jpg
2510,Mitosis,Y,2,N,N,B 2 isl R for,B fused isl,B fused isl,,2510-Mitosis.jpg,2510-Mitosis_T.jpg,2510-Mitosis-left.jpg,2510-Mitosis-right.jpg
2510,Mitosis,Y,4,N,N,B 2 isl R for,B fused isl,B fused isl,,2510-Mitosis.jpg,2510-Mitosis_T.jpg,2510-Mitosis-left.jpg,2510-Mitosis-right.jpg
2541,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,,2541.jpg,2541_T.jpg,2541-left.jpg,2541-right.jpg
2605,Smoke,N,4,N,N,C 1 sym,C 1 pen,C 1 pen,lip - line scar right,2605-Smoke.jpg,2605-Smoke_T.jpg,2605-Smoke-left.jpg,2605-Smoke-right.jpg
2642,Echo,Y,2,N,Y,,B 1 isl,B no isl,,2642-Echo.jpg,2642-Echo_T.jpg,2642-Echo-left.jpg,2642-Echo-right.jpg
2681,Hyphen,Y,2,N,Y,,B no isl,B no isl,coam - scar,2681-Hyphen.jpg,2681-Hyphen_T.jpg,2681-Hyphen-left.jpg,2681-Hyphen-right.jpg
2681,Hyphen,Y,4,N,Y,,B no isl,B no isl,coam - scar,2681-Hyphen.jpg,2681-Hyphen_T.jpg,2681-Hyphen-left.jpg,2681-Hyphen-right.jpg
2705,Silver,Y,2,Y,N,B 1 sym isl,B 2 isl,B 1 isl,bh - scar,2705-Silver.jpg,2705-Silver_T.jpg,2705-Silver-left.jpg,2705-Silver-right.jpg
2743,Ellipsis,Y,3,Y,Y,,B long coam w isl,B long coam no isl,,2743-Ellipsis.jpg,2743-Ellipsis_T.jpg,2743-Ellipsis-left.jpg,2743-Ellipsis-right.jpg
2750,Haley,N,2,N,N,,C 1 pen,C 1 or 2 pen,,2750-Haley.jpg,2750-Haley_T.jpg,2750-Haley-left.jpg,2750-Haley-right.jpg
2753,Arpeggio,Y,2,Y,Y,,B long pen coam,B long pen coam,2022 mom,2753-Arpeggio.jpg,2753-Arpeggio_T.jpg,2753-Arpeggio-left.jpg,2753-Arpeggio-right.jpg
2760,,Y,2,N,Y,B 1 sym isl,B 1 isl,B 1 isl,,2760.jpg,2760_T.jpg,2760-left.jpg,2760-right.jpg
2791,Fenway,N,2,Y,Y,,C 1 or 2 pen,C 1 pen,bh - scar,2791-Fenway.jpg,2791-Fenway_T.jpg,left-nohead.jpg,2791-Fenway-right.jpg
2904,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,face - 3 dots left,2904_overhead.jpg,2904_T.jpg,2904-left.jpg,2904-right.jpg
2904,,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,face - 3 dots left,2904_left.jpg,2904_T.jpg,2904-left.jpg,2904-right.jpg
2910,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,,2910.jpg,2910_T.jpg,2910-left.jpg,2910-right.jpg
2920,,Y,2,Y,Y,,B long coam no isl,B long coam no isl,,2920.jpg,2920_T.jpg,2920-left.jpg,2920-right.jpg
2930,Specs,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,callosity - scar,2930-Specs.jpg,2930-Specs_T.jpg,2930-Specs-left.jpg,2930-Specs-right.jpg
3020,Giza,Y,2,N,N,,B 1 isl,B 1 isl,2021 mom,3020-Giza.jpg,3020-Giza_T.jpg,3020-Giza-left.jpg,3020-Giza-right.jpg
3101,Harmonia,N,2,Y,Y,C 1 sym,C 1 pen,C 1 pen,,3101-Harmonia.jpg,3101-Harmonia_T.jpg,3101-Harmonia-left.jpg,3101-Harmonia-right.jpg
