NEAQ ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,Sig Features,whaleimage,tailimage,ventraltail,lefthead,righthead
4423,Nebula,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,,4423-Nebula.jpg,4423-Nebula_T.jpg,4423-Nebula_VT.jpg,4423-Nebula-left.jpg,4423-Nebula-right.jpg
4457,Seamount,Y,2,Y,Y,,B long pen coam,B long pen coam,,4457-Seamount.jpg,4457-Seamount_T.jpg,4457-Seamount_VT.jpg,4457-Seamount-left.jpg,4457-Seamount-right.jpg
4457,Seamount,Y,2,Y,Y,,B long pen coam,B long pen coam,,4457b-Seamount.jpg,4457-Seamount_T.jpg,4457-Seamount_VT.jpg,4457-Seamount-left.jpg,4457-Seamount-right.jpg
4605,,N,2,Y,Y,,C 2 pen,C 1 pen,back - line scar,4605.jpg,4605_T.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
5132,2021CalfOf3232,Y,2,N,N,2021 calf,B 0 isl,B 0 isl,,5132.jpg,5132_T.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
5191,2021CalfOf3020,Y,2,Y,Y,,B long pen coam,B long pen coam,2021 calf,5191.jpg,5191_T.jpg,5191_VT.jpg,left-nohead.jpg,right-nohead.jpg
5196,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,,5196.jpg,5196_T.jpg,no_tail.jpg,left-nohead.jpg,5196-right.jpg
5290,,Y,2,Y,Y,B 1 sym,B 1 isl,B 1 isl,,5290.jpg,5290_T.jpg,no_tail.jpg,5290-left.jpg,5290-right.jpg
,2023CalfOf1711,N,2,N,N,,C 1 pen,C 2 pen,,_2023CalfOf1711.jpg,no_tail.jpg,no_tail.jpg,left-nohead.jpg,right-nohead.jpg
,2024CalfOf3590,N,,,,,,,,_2024CalfOf3590.jpg,,,,
