ID,Name of Whale,Broken,PB,L Lip,R Lip,Full Head Options,Left Head Options,Right Head Options,whaleimage,tailimage
3520,Millipede,Y,4,N,N,B 1 sym isl,B long coam w isl,B long coam w isl,3520-Millipede.jpg,3520-Millipede_T.jpg
3530,Ruffian,Y,2,N,N,B 2 isl R for,B long coam w isl,B long coam w isl,3530-Ruffian.jpg,3530-Ruffian_T.jpg
3546,Halo,N,4,N,Y,,C 1 pen,C 2 pen,3546-Halo.jpg,3546-Halo_T.jpg
3550,,N,2,Y,Y,,C 2 pen,C 1 pen,3550.jpg,no_tail.jpg
3560,,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3560.jpg,3560_T.jpg
3579,,N,2,Y,Y,,C 2 pen,C 3 pen,3579.jpg,3579_T.jpg
3617,Salem,N,1,Y,Y,,C 0 or 1 pen,C 0 or 1 pen,3617-Salem.jpg,3617-Salem_T.jpg
3623,Bongo,N,2,N,N,C all 4 sym,C 2 pen,C 2 pen,3623-Bongo.jpg,3623-Bongo_T.jpg
3646,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,3646.jpg,no_tail.jpg
3651,,N,2,Y,Y,,C 2 pen,C 2 pen,3651.jpg,3651_T.jpg
3660,Sirius,N,3,Y,Y,C 1 sym,C 1 pen,C 1 pen,3660-Sirius.jpg,3660-Sirius_T.jpg
3680,Sea Dragon,Y,3,N,N,,B no isl,B no isl,3680-SeaDragon.jpg,3680-SeaDragon_T.jpg
3701,Eros,Y,2,N,N,,B no isl,B no isl,3701-Eros.jpg,no_tail.jpg
3720,,Y,2,N,N,,B long pen coam,B long pen coam,3720.jpg,3720_T.jpg
3730,,Y,2,N,N,,B long pen coam,B long pen coam,3730.jpg,no_tail.jpg
3730,,N,2,N,N,,C 1 pen,C 1 pen,3730.jpg,no_tail.jpg
3750,,Y,2,N,N,,B long coam w isl,B long coam w isl,3750.jpg,no_tail.jpg
3810,,N,1,N,N,C 2 pen R for,C 1 pen,C 1 pen,3810.jpg,no_tail.jpg
3812,,Y,2,Y,Y,,B no isl,B 1 isl,3812.jpg,3812_T.jpg
3823,Sundog,Y,1,N,N,,B fused isl,B long coam w isl,3823-Sundog.jpg,3823-Sundog_T.jpg
3823,Sundog,Y,2,N,N,,B fused isl,B long coam w isl,3823-Sundog.jpg,3823-Sundog_T.jpg
3843,,N,2,N,N,C 2 pen L for,C 0 or 1 pen,C 0 or 1 pen,3843.jpg,no_tail.jpg
3845,Mogul,N,2,Y,Y,,C 1 isl,C 1 isl,3845-Mogul.jpg,3845-Mogul_T.jpg
3860,Bocce,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3860-Bocce.jpg,3860-Bocce_T.jpg
3860,Bocce,Y,4,N,N,B any 4 asym,B 2 isl,B 2 isl,3860-Bocce.jpg,3860-Bocce_T.jpg
3890,,Y,3,N,N,B 2 isl R for,B fused isl,B 1 isl,3890.jpg,no_tail.jpg
3892,,Y,2,N,N,,B no isl,B no isl,3892.jpg,3892_T.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3904-Champagne.jpg,3904-Champagne_T.jpg
3904,Champagne,Y,2,N,N,B any 4 asym,B 2 isl,B fused isl,3904-Champagne.jpg,3904-Champagne_T.jpg
3912,Sickle,Y,2,Y,Y,B 2 isl L for,B 1 isl,B 1 isl,3912.jpg,3912_T.jpg
3920,Cottontail,Y,2,N,N,B 2 isl L for,B 1 isl,B 1 isl,3920.jpg,3920_T.jpg
3940,Koala,Y,2,N,N,B any 4 asym,B 2 isl,B 2 isl,3940-Koala.jpg,3940-Koala_T.jpg
3942,,Y,2,N,N,B 2 isl R for,B 1 isl,B 1 isl,3942.jpg,3942_T.jpg
3946,,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,3946.jpg,no_tail.jpg
3960,,Y,2,N,N,,B no isl,B no isl,3960.jpg,3960_T.jpg
3981,,N,2,Y,Y,,C no pen,C 0 or 1 pen,3981.jpg,3981_T.jpg
3989,,N,2,N,Y,C 1 sym,C 1 pen,C 1 pen,3989.jpg,3989_T.jpg
3992,,N,2,N,N,,C 1 pen,C isl,3992.jpg,3992_T.jpg
3992,,Y,2,N,N,,B long pen coam,B long coam w isl,3992.jpg,3992_T.jpg
4040,Chiminea,N,2,Y,Y,C any 4 asym,C 2 pen,C 2 pen,4040-Chiminea.jpg,4040-Chiminea_T.jpg
4042,,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,4042.jpg,4042_T.jpg
4057,FDR,N,2,Y,Y,,C 0 or 1 pen,C 2 pen,4057-FDR.jpg,no_tail.jpg
4092,Flare,Y,3,N,N,B 2 isl L for,B 1 isl,B 1 isl,4092-Flare.jpg,no_tail.jpg
4094,Mayport,Y,2,Y,Y,,B long pen coam,B long pen coam,4094-Mayport.jpg,no_tail.jpg
4123,,N,2,N,Y,C 2 pen L for,C 1 pen,C 1 pen,4123.jpg,no_tail.jpg
4129,,Y,2,N,Y,B 2 isl L for,B 1 isl,B 1 isl,4129.jpg,4129_T.jpg
4140,Casper,Y,1,N,N,B 2 isl L for,B 2 isl,B 1 isl,4140-Casper.jpg,4140-Casper_T.jpg
4140,Casper,Y,2,N,N,B 2 isl L for,B 2 isl,B 1 isl,4140-Casper.jpg,4140-Casper_T.jpg
4180,,Y,2,N,N,,B long pen coam,B long pen coam,4180.jpg,4180_T.jpg
4190,,Y,2,N,N,B 1 sym isl,B 1 isl,B 1 isl,4190.jpg,4190_T.jpg
4310,,Y,2,Y,Y,,B no isl,B no isl,4310.jpg,4310_T.jpg
4340,,Y,2,N,N,B 1 sym isl,B long coam w isl,B long coam w isl,4340.jpg,4340_T.jpg
4423,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 pen,4423.jpg,4423_T.jpg
4440,,Y,2,N,N,,B long coam w isl,B long coam w isl,4440.jpg,4440_T.jpg
4445,Bishop,N,2,N,N,C 2 pen L for,C 1 pen,C 1 pen,4445-Bishop.jpg,no_tail.jpg
4446,,Y,2,N,N,,B long pen coam,B long pen coam,4446.jpg,4446_T.jpg
4457,,Y,2,Y,Y,,B long pen coam,B long pen coam,4457.jpg,4457_T.jpg
4501,,N,2,Y,Y,C 2 pen L for,C 1 pen,C 1 or 2 pen,4501.jpg,4501_T.jpg
4510,,Y,2,N,N,,B 1 isl,B 2 isl,4510.jpg,4510_T.jpg
4523,,Y,4,N,N,B 1 sym isl,B 1 isl,B 1 isl,4523.jpg,4523_T.jpg
4530,,Y,2,N,N,,B 2 isl,B 2 isl,4530.jpg,no_tail.jpg
4539,,Y,2,N,Y,,B long pen coam,B long pen coam,4539.jpg,4539_T.jpg
4545,,Y,1,N,N,,B 2 isl,B 1 isl,4545.jpg,4545_T.jpg
4546,,Y,2,N,N,,B 2 isl,B 1 isl,4546.jpg,no_tail.jpg
4601,Gully,N,3,N,N,C 1 sym,C 1 pen,C 1 pen,4601.jpg,4601_T.jpg
4612,,Y,2,N,N,,B long coam no isl,B long pen coam,4612.jpg,no_tail.jpg
4615,,Y,2,N,N,,B long pen coam,B long pen coam,4615.jpg,no_tail.jpg
4617,,N,2,Y,N,C 1 sym,C 1 pen,C 1 pen,4617.jpg,4617_T.jpg
